"";"animal";"Class";"Day";"Rate"
"229";"d2_s69";"within";"Day 2";0,08716975
"230";"d2_s70";"within";"Day 2";0,176640122
"231";"d2_s71";"within";"Day 2";0,048385877
"232";"d2_s72";"within";"Day 2";0,070452983
"233";"d2_s73";"within";"Day 2";0,125686164
"234";"d2_s74";"within";"Day 2";0,20260031
"235";"d2_s75";"within";"Day 2";0,041594752
"236";"d2_s76";"within";"Day 2";0,094383716
"237";"d2_s77";"within";"Day 2";0,037141425
"238";"d2_s78";"within";"Day 2";0,483619935
"239";"d2_s79";"within";"Day 2";0,156972789
"240";"d2_s80";"within";"Day 2";0,270199583
"241";"d2_s1";"across";"Day 2";0,089065974
"242";"d2_s2";"across";"Day 2";0,099385606
"243";"d2_s3";"across";"Day 2";0,265044093
"244";"d2_s4";"across";"Day 2";0,14336576
"245";"d2_s5";"across";"Day 2";0,153505325
"246";"d2_s6";"across";"Day 2";0,131845837
"247";"d2_s7";"across";"Day 2";0,070697493
"248";"d2_s8";"across";"Day 2";0,219339002
"249";"d2_s9";"across";"Day 2";0,305986354
"250";"d2_s10";"across";"Day 2";0,217127806
"251";"d2_s11";"across";"Day 2";0,207945012
"252";"d2_s12";"across";"Day 2";0,178502846
"253";"d2_s13";"across";"Day 2";0,451408057
"254";"d2_s14";"across";"Day 2";0,334290712
"255";"d2_s15";"across";"Day 2";0,128788244
"256";"d2_s16";"across";"Day 2";0,159785734
"257";"d2_s17";"across";"Day 2";0,19163114
"258";"d2_s18";"across";"Day 2";0,270163375
"259";"d2_s19";"across";"Day 2";0,272350568
"260";"d2_s20";"across";"Day 2";0,15941026
"261";"d2_s21";"across";"Day 2";0,083989904
"262";"d2_s22";"across";"Day 2";0,198188844
"263";"d2_s23";"across";"Day 2";0,036192291
"264";"d2_s24";"across";"Day 2";0,152744493
"265";"d2_s25";"across";"Day 2";0,049673183
"266";"d2_s26";"across";"Day 2";0,084069401
"267";"d2_s27";"across";"Day 2";1,025932185
"268";"d2_s28";"across";"Day 2";0,04784305
"269";"d2_s29";"across";"Day 2";0,086109967
"270";"d2_s30";"across";"Day 2";0,187944801
