"";"Subject";"Context";"Day";"CellType";"BMROrder";"bmr";"N";"Ntt";"Perc";"animal";"trialA";"trialB";"contextA";"contextB";"isCoherent";"rot1";"rot2";"rot3";"rot4"
"100";"CMG129_CA1_TA10_TB11";"across";"2";"FI";"C_3";"4";25;155;0,161290322580645;"CMG129_CA1";10;11;2;1;1;0,458;0,226;0,161;0,155
"101";"CMG129_CA1_TA10_TB11";"across";"2";"FS";"C_1";"1";5;10;0,5;"CMG129_CA1";10;11;2;1;0;0,5;0,3;0,1;0,1
"102";"CMG129_CA1_TA10_TB11";"across";"2";"FS";"C_3";"2";1;10;0,1;"CMG129_CA1";10;11;2;1;0;0,5;0,3;0,1;0,1
"103";"CMG129_CA1_TA10_TB11";"across";"2";"FS";"C_2";"3";3;10;0,3;"CMG129_CA1";10;11;2;1;0;0,5;0,3;0,1;0,1
"104";"CMG129_CA1_TA10_TB11";"across";"2";"FS";"C_4";"4";1;10;0,1;"CMG129_CA1";10;11;2;1;0;0,5;0,3;0,1;0,1
"105";"CMG129_CA1_TA10_TB11";"across";"3";"FI";"C_2";"1";36;125;0,288;"CMG129_CA1";10;11;2;1;1;0,368;0,288;0,216;0,128
"106";"CMG129_CA1_TA10_TB11";"across";"3";"FI";"C_3";"2";27;125;0,216;"CMG129_CA1";10;11;2;1;1;0,368;0,288;0,216;0,128
"107";"CMG129_CA1_TA10_TB11";"across";"3";"FI";"C_1";"3";46;125;0,368;"CMG129_CA1";10;11;2;1;1;0,368;0,288;0,216;0,128
"108";"CMG129_CA1_TA10_TB11";"across";"3";"FI";"C_4";"4";16;125;0,128;"CMG129_CA1";10;11;2;1;1;0,368;0,288;0,216;0,128
"109";"CMG129_CA1_TA10_TB11";"across";"3";"FS";"C_1";"1";4;9;0,444444444444444;"CMG129_CA1";10;11;2;1;0;0,444;0,333;0,222;0
"110";"CMG129_CA1_TA10_TB11";"across";"3";"FS";"C_4";"2";0;9;0;"CMG129_CA1";10;11;2;1;0;0,444;0,333;0,222;0
"111";"CMG129_CA1_TA10_TB11";"across";"3";"FS";"C_2";"3";3;9;0,333333333333333;"CMG129_CA1";10;11;2;1;0;0,444;0,333;0,222;0
"112";"CMG129_CA1_TA10_TB11";"across";"3";"FS";"C_3";"4";2;9;0,222222222222222;"CMG129_CA1";10;11;2;1;0;0,444;0,333;0,222;0
"113";"CMG129_CA1_TA10_TB12";"within";"1";"FI";"C_3";"1";32;168;0,19047619047619;"CMG129_CA1";10;12;2;2;1;0,327;0,315;0,19;0,167
"114";"CMG129_CA1_TA10_TB12";"within";"1";"FI";"C_4";"2";28;168;0,166666666666667;"CMG129_CA1";10;12;2;2;1;0,327;0,315;0,19;0,167
"115";"CMG129_CA1_TA10_TB12";"within";"1";"FI";"C_2";"3";53;168;0,31547619047619;"CMG129_CA1";10;12;2;2;1;0,327;0,315;0,19;0,167
"116";"CMG129_CA1_TA10_TB12";"within";"1";"FI";"C_1";"4";55;168;0,327380952380952;"CMG129_CA1";10;12;2;2;1;0,327;0,315;0,19;0,167
"117";"CMG129_CA1_TA10_TB12";"within";"1";"FS";"C_3";"1";3;21;0,142857142857143;"CMG129_CA1";10;12;2;2;0;0,429;0,286;0,143;0,143
"118";"CMG129_CA1_TA10_TB12";"within";"1";"FS";"C_4";"2";3;21;0,142857142857143;"CMG129_CA1";10;12;2;2;0;0,429;0,286;0,143;0,143
"119";"CMG129_CA1_TA10_TB12";"within";"1";"FS";"C_1";"3";9;21;0,428571428571429;"CMG129_CA1";10;12;2;2;0;0,429;0,286;0,143;0,143
"120";"CMG129_CA1_TA10_TB12";"within";"1";"FS";"C_2";"4";6;21;0,285714285714286;"CMG129_CA1";10;12;2;2;0;0,429;0,286;0,143;0,143
