"";"Id";"Score";"Decile"
"761";"55";0,859727019;"6"
"762";"56";0,708108485;"6"
"763";"57";0,707210467;"6"
"764";"58";0,764385439;"6"
"765";"59";0,736990021;"6"
"766";"60";0,776269663;"6"
"767";"61";0,775625386;"6"
"768";"62";0,837950662;"6"
"769";"63";0,771078173;"6"
"770";"64";0,681551681;"6"
"771";"65";0,77242389;"6"
"772";"66";0,847203821;"6"
"773";"67";0,582085271;"6"
"774";"68";0,618869653;"6"
"775";"69";0,776081858;"6"
"776";"70";0,616066304;"6"
"777";"71";0,597384287;"6"
"778";"72";0,512775;"6"
"779";"73";0,607226805;"6"
"780";"74";0,399760381;"6"
"781";"75";0,680339898;"6"
"782";"76";0,639058102;"6"
"783";"77";0,804617298;"6"
"784";"78";0,55417869;"6"
"785";"79";0,443128629;"6"
"786";"80";0,866815236;"6"
"787";"81";0,39802055;"6"
"788";"82";0,641315532;"6"
"789";"83";0,74739432;"6"
"790";"84";0,734055086;"6"
"791";"85";0,777260614;"6"
"792";"86";0,596191049;"6"
"793";"87";0,807766648;"6"
"794";"88";0,681582465;"6"
"795";"89";0,500758293;"6"
"796";"90";0,62318046;"6"
"797";"91";0,491905921;"6"
"798";"92";0,642018277;"6"
"799";"93";0,818138229;"6"
"800";"94";0,607226805;"6"
"801";"95";0,831464154;"6"
"802";"96";0,893978813;"6"
"803";"97";0,452100207;"6"
"804";"98";0,8846379;"6"
"805";"99";0,732127213;"6"
"806";"100";0,627100485;"6"
"807";"101";0,560076735;"6"
"808";"102";0,745034869;"6"
"809";"103";0,55170318;"6"
"810";"104";0,692443605;"6"
"811";"105";0,430855147;"6"
"812";"106";0,81701204;"6"
"813";"107";0,845160339;"6"
"814";"108";0,626040057;"6"
"815";"109";0,658768583;"6"
"816";"110";0,890938708;"6"
"817";"111";0,374864199;"6"
"818";"112";0,911866049;"6"
"819";"113";0,770407413;"6"
"820";"114";0,751052261;"6"
"821";"115";0,729131387;"6"
"822";"116";0,755021551;"6"
"823";"117";0,712505333;"6"
"824";"118";0,484401079;"6"
"825";"119";0,559133781;"6"
"826";"120";0,788158547;"6"
"827";"1";0,397179515;"7"
"828";"2";0,63952061;"7"
"829";"3";0,569795598;"7"
"830";"4";0,764147435;"7"
"831";"5";0,361452762;"7"
"832";"6";0,859524956;"7"
"833";"7";0,695174324;"7"
"834";"8";0,643707548;"7"
"835";"9";0,710413733;"7"
"836";"10";0,774030251;"7"
"837";"11";0,722847393;"7"
"838";"12";0,776082958;"7"
"839";"13";0,756096634;"7"
"840";"14";0,642377457;"7"
"841";"15";0,710413733;"7"
"842";"16";0,621031887;"7"
"843";"17";0,576724362;"7"
"844";"18";0,731480795;"7"
"845";"19";0,738238772;"7"
"846";"20";0,562369241;"7"
"847";"21";0,866961995;"7"
"848";"22";0,515959801;"7"
"849";"23";0,768877064;"7"
"850";"24";0,71774631;"7"
"851";"25";0,400878444;"7"
"852";"26";0,282582509;"7"
"853";"27";0,523243789;"7"
"854";"28";0,521325951;"7"
"855";"29";0,866961995;"7"
"856";"30";0,822335619;"7"
"857";"31";0,596232944;"7"
"858";"32";0,92345762;"7"
"859";"33";0,965578168;"7"
"860";"34";0,788379773;"7"
"861";"35";0,832257314;"7"
"862";"36";0,796550425;"7"
"863";"37";0,794838868;"7"
"864";"38";0,719731047;"7"
"865";"39";0,843759602;"7"
"866";"40";0,755643623;"7"
"867";"41";0,878863562;"7"
"868";"42";0,656853623;"7"
"869";"43";0,935209378;"7"
"870";"44";0,85545001;"7"
